Age,F公司,A公司,M公司,C公司,S公司,H公司,Bowtie
0,5854,6564,5830,10069,6803,7154,5400
1,5854,6564,5830,9062,6567,7154,5400
2,5854,6564,5830,8056,6328,7154,5400
3,5854,6564,5830,8056,6087,7154,5400
4,5854,6564,5830,8056,5838,7154,5400
5,5376,6444,5830,7864,5597,7035,5064
6,5376,6365,5830,7672,5578,6971,5064
7,5376,6266,5830,7479,5559,6894,5064
8,5376,6170,5830,7288,5539,6829,5064
9,5376,6109,5830,7096,5519,6770,5064
10,5376,5992,5830,6904,5498,6699,5088
11,5376,5938,5830,6713,5478,6637,5124
12,5376,5887,5830,6521,5429,6572,5148
13,5376,5837,5830,6329,5381,6503,5184
14,5376,5756,5830,6137,5333,6426,5208
15,5376,5678,5830,5946,5285,6345,5244
16,5376,5599,5830,6013,5448,6242,5268
17,5376,5551,5830,6064,5611,6158,5328
18,5525,5553,5830,6096,5774,6152,5340
19,5570,5587,5994,6338,5938,6182,5340
20,5701,5665,6341,6580,5992,6259,5388
21,5798,5788,6344,6748,6092,6403,5484
22,5885,5927,6559,6923,6238,6581,5616
23,5923,6075,6782,7099,6394,6746,5760
24,5928,6252,7012,7283,6580,6937,5868
25,6162,6454,7204,7471,6794,7149,6036
26,6531,6682,7614,7663,7033,7380,6264
27,6899,6925,8128,7859,7289,7624,6492
28,7185,7161,8587,8062,7537,7814,6720
29,7383,7394,8925,8269,7783,8005,6936
30,7531,7630,9141,8480,7998,8183,7152
31,7742,7870,9488,8701,8284,8354,7380
32,7848,8057,9710,8924,8481,8523,7560
33,8058,8273,10067,9154,8708,8739,7752
34,8254,8514,10221,9390,8962,8947,7980
35,8532,8699,10306,9631,9156,9172,8160
36,8532,8893,10416,9878,9361,9414,8340
37,8691,9175,10732,10134,9657,9671,8520
38,8901,9470,10782,10393,9968,10064,8724
39,8954,9772,10832,10659,10286,10488,8868
40,9059,10163,10883,10977,10698,10926,8964
41,9217,10494,11266,11414,11046,11381,9120
42,9428,10843,11649,11911,11414,11852,9336
43,9849,11205,12056,12431,11794,12228,9756
44,10429,11581,12477,12975,12190,12640,10320
45,10955,11969,13099,13541,12598,13074,10848
46,11587,12466,14041,14133,13122,13558,11472
47,11955,12915,14984,14749,13594,14087,11832
48,12430,13522,15349,15395,14233,14707,12300
49,12956,14103,15724,16067,14845,15359,12828
50,13220,14642,16108,16768,15486,16068,13092
51,13722,15216,17355,17589,16171,16808,13584
52,14868,15831,18260,18452,16906,17622,14568
53,15535,16500,18940,19355,17707,18458,15228
54,16195,17316,19252,20304,18674,19367,15876
55,16882,18209,19565,21299,19636,20379,16548
56,17945,19367,21039,22342,20682,21518,17592
57,18971,20632,22624,23437,21927,22773,18588
58,19943,22080,24328,24586,23353,24314,19548
59,21289,23662,25602,25790,24907,26017,20868
60,22350,25276,26874,27054,26606,27855,22128
61,23449,27034,29293,28379,28456,29804,23220
62,25439,28838,31433,29770,30356,31861,25188
63,28072,30704,34262,31229,32319,33888,27228
64,31390,32666,37346,32759,34385,35986,29388
65,34073,34709,40707,34364,36535,38147,31884
66,36810,36807,44370,36048,38738,40362,34512
67,38237,38910,47505,37814,40957,42604,36492
68,39080,41017,48684,39667,43175,44545,38304
69,40344,42918,50400,41611,45394,46477,39540
70,41450,44788,51923,43650,47600,48408,41040
71,45826,46629,56596,45788,49797,50355,43908
72,48365,48472,60045,48032,52018,52303,46344
73,50861,50327,63313,50385,54274,54538,48348
74,52958,52462,66101,52854,56576,56832,50400
75,53922,54659,67483,55444,58946,59190,52512
76,58972,56931,72795,58161,61395,61595,54696
77,64806,59297,79347,61011,63947,64097,56976
78,68424,61734,82874,64001,66575,66725,59316
79,72443,64241,86673,67137,69279,69437,61716
80,75474,66840,89841,70427,72082,72227,64224
81,79845,69536,94693,73525,74989,75098,66768
82,82168,72290,96587,76761,77959,78043,68124
83,83625,75130,98519,80139,81022,80953,69684
84,84949,77994,100489,83665,84110,83759,71292
85,86472,80317,102499,87346,86616,86490,72912
86,88061,82663,103874,91189,89146,89160,74832
87,89451,85111,105264,95201,91786,91800,76788
88,90842,87664,106667,99390,94540,94680,78756
89,92298,90397,108085,103763,97486,97740,80808
90,93755,93866,109516,108329,99988,100903,82872
91,95278,97042,111707,113096,102490,104087,85008
92,96668,99885,113942,118071,104992,107052,87168
93,98125,102723,116220,123267,107494,109634,89388
94,99714,104430,118545,128691,109996,111882,91656
95,101170,106066,120916,134354,112498,113852,93972
96,102694,107859,123334,140265,115000,115605,96336
97,104537,109426,125800,146437,117502,117391,98712
98,106377,111273,128317,152880,120004,119196,101160
99,110770,113185,130883,159607,122062,121139,103668